epoch,loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
1,0.5436180830001831,0.2310318946838379,0.7648040652275085,0.5635760426521301,0.16492070257663727,0.7136438488960266,0.0010000000474974513
2,0.44613969326019287,0.37137120962142944,0.8565378189086914,0.5316686034202576,0.1982996165752411,0.7692481875419617,0.0010000000474974513
3,0.36289283633232117,0.49925532937049866,0.9081167578697205,0.46328142285346985,0.20163434743881226,0.7513460516929626,0.0010000000474974513
4,0.3040599226951599,0.5877487659454346,0.9337731599807739,0.5514956712722778,0.1864190548658371,0.7507274746894836,0.0010000000474974513
5,0.26203101873397827,0.6575114130973816,0.9496369361877441,0.5135289430618286,0.19203941524028778,0.7408737540245056,0.0010000000474974513
6,0.20328092575073242,0.7607660293579102,0.96885085105896,0.5303568243980408,0.2148752212524414,0.7462813258171082,0.0005000000237487257
7,0.1851661205291748,0.7906537652015686,0.9741167426109314,0.5379499793052673,0.22290386259555817,0.7547688484191895,0.0005000000237487257
8,0.16432775557041168,0.827293872833252,0.9796393513679504,0.5842453837394714,0.22151294350624084,0.749374270439148,0.0005000000237487257
9,0.15407660603523254,0.8425011038780212,0.9820707440376282,0.5498672127723694,0.23671263456344604,0.7515714764595032,0.0005000000237487257
10,0.1344016194343567,0.8730659484863281,0.9861043691635132,0.6042366027832031,0.22517383098602295,0.7465169429779053,0.0005000000237487257
11,0.1251012086868286,0.8876819610595703,0.988017201423645,0.6123762726783752,0.2370695173740387,0.7452345490455627,0.0005000000237487257
12,0.11434523016214371,0.8997354507446289,0.9897112846374512,0.6042753458023071,0.23910996317863464,0.7367737293243408,0.0005000000237487257
13,0.10895274579524994,0.9065557718276978,0.990622878074646,0.513556957244873,0.2807120382785797,0.7736697793006897,0.0005000000237487257
14,0.08872105181217194,0.934619665145874,0.993698239326477,0.5647223591804504,0.2569625973701477,0.7429796457290649,0.0005000000237487257
15,0.08616092056035995,0.9355349540710449,0.9938843846321106,0.6106586456298828,0.26465851068496704,0.7463188171386719,0.0005000000237487257
16,0.058690883219242096,0.965508222579956,0.9969328045845032,0.6530540585517883,0.2782701253890991,0.7468624114990234,0.0002500000118743628
17,0.05615440756082535,0.9681904911994934,0.9971987009048462,0.6832464337348938,0.25990307331085205,0.7125937938690186,0.0002500000118743628
