score,quantile,threshold,precision,recall,f1,pr_auc,roc_auc,predicted_count
mean_l2,0.5,1.7483656406402588,0.34614065180102915,0.8062325209748302,0.484339373574943,0.43621744433563364,0.5520650940709294,5830
mean_l2,0.6,1.7921117305755616,0.3397918909221385,0.7566919696364363,0.4689860096570509,0.43621744433563364,0.5520650940709294,5574
mean_l2,0.7,1.8613817453384398,0.337037037037037,0.6907710747103476,0.45303288353203197,0.43621744433563364,0.5520650940709294,5130
mean_l2,0.8,1.956533169746399,0.343380218798839,0.6144626448262086,0.4405614437124033,0.43621744433563364,0.5520650940709294,4479
mean_l2,0.85,2.0088793277740478,0.34644913627639157,0.5769077107471035,0.43291860290810974,0.43621744433563364,0.5520650940709294,4168
mean_l2,0.9,2.105907511711121,0.36863079988613723,0.5173791450259688,0.4305186170212766,0.43621744433563364,0.5520650940709294,3513
mean_l2,0.925,2.183754885196686,0.3801789857474312,0.4582500998801438,0.41557971014492756,0.43621744433563364,0.5520650940709294,3017
mean_l2,0.95,2.2980456709861756,0.41575968654767087,0.38154214942069514,0.39791666666666664,0.43621744433563364,0.5520650940709294,2297
mean_l2,0.975,2.4643607437610626,0.4490161001788909,0.3008389932081502,0.36028708133971293,0.43621744433563364,0.5520650940709294,1677
mean_l2,0.99,2.6436372709274245,0.4847715736040609,0.2289252896524171,0.31099050203527817,0.43621744433563364,0.5520650940709294,1182
p95_timestep_l2,0.5,2.5020599365234375,0.3446786454733932,0.7970435477427088,0.4812447231938246,0.4723685241871511,0.5618457931815697,5788
p95_timestep_l2,0.6,2.658327102661133,0.34670380687093777,0.7459049141030764,0.47337728194726164,0.4723685241871511,0.5618457931815697,5385
p95_timestep_l2,0.7,2.8922346830368038,0.3443126022913257,0.6723931282461046,0.45541875253686914,0.4723685241871511,0.5618457931815697,4888
p95_timestep_l2,0.8,3.1070868968963623,0.3524645509790682,0.6256492209348782,0.45090699683270946,0.4723685241871511,0.5618457931815697,4443
p95_timestep_l2,0.85,3.2764036655426025,0.3540297053810567,0.5809029165001998,0.43993948562783664,0.4723685241871511,0.5618457931815697,4107
p95_timestep_l2,0.9,3.577523946762085,0.3739403453689168,0.4758290051937675,0.41877637130801687,0.4723685241871511,0.5618457931815697,3185
p95_timestep_l2,0.925,3.7891829013824463,0.39441747572815533,0.38953256092688776,0.39195979899497485,0.4723685241871511,0.5618457931815697,2472
p95_timestep_l2,0.95,3.904496669769287,0.4165504416550442,0.3579704354774271,0.38504512247529005,0.4723685241871511,0.5618457931815697,2151
p95_timestep_l2,0.975,4.548917293548584,0.6568758344459279,0.1965641230523372,0.3025830258302583,0.4723685241871511,0.5618457931815697,749
p95_timestep_l2,0.99,6.317821502685547,0.8579881656804734,0.05793048341989612,0.10853293413173652,0.4723685241871511,0.5618457931815697,169
max_timestep_l2,0.5,3.854675531387329,0.35275479669072346,0.8006392329204954,0.4897360703812317,0.4659082952211307,0.5965764222420692,5681
max_timestep_l2,0.6,4.3125913619995115,0.36143622297163264,0.7279264882141431,0.48303287380699894,0.4659082952211307,0.5965764222420692,5041
max_timestep_l2,0.7,4.815352916717529,0.3924588422729687,0.5904914103076309,0.47152655925985004,0.4659082952211307,0.5965764222420692,3766
max_timestep_l2,0.8,5.271312236785889,0.4323361823361823,0.48501797842588895,0.457164375823762,0.4659082952211307,0.5965764222420692,2808
max_timestep_l2,0.85,5.897374153137207,0.4976235741444867,0.418298042349181,0.45452572172780553,0.4659082952211307,0.5965764222420692,2104
max_timestep_l2,0.9,6.774428844451904,0.5077399380804953,0.26208549740311626,0.34571805006587614,0.4659082952211307,0.5965764222420692,1292
max_timestep_l2,0.925,7.204075336456299,0.5694050991501416,0.24091090691170594,0.3385738349241999,0.4659082952211307,0.5965764222420692,1059
max_timestep_l2,0.95,8.09152889251709,0.6388101983002833,0.18018377946464242,0.28108444998441884,0.4659082952211307,0.5965764222420692,706
max_timestep_l2,0.975,8.675067901611328,0.6606060606060606,0.1306432281262485,0.2181454302868579,0.4659082952211307,0.5965764222420692,495
max_timestep_l2,0.99,11.409586906433105,0.5,0.009588493807431082,0.018816150529204233,0.4659082952211307,0.5965764222420692,48
last_24_mean_l2,0.5,1.7122167348861694,0.34948604992657856,0.7606871753895326,0.47893346748836624,0.4357392636486943,0.5517283692265499,5448
last_24_mean_l2,0.6,1.7788002729415893,0.3494146144529673,0.6915701158609668,0.4642617674668097,0.4357392636486943,0.5517283692265499,4954
last_24_mean_l2,0.7,1.8573588728904724,0.3510277840524057,0.6208549740311626,0.4484848484848485,0.4357392636486943,0.5517283692265499,4427
last_24_mean_l2,0.8,1.9639338254928589,0.35844087437450617,0.5437475029964043,0.43206349206349204,0.4357392636486943,0.5517283692265499,3797
last_24_mean_l2,0.85,2.054615020751953,0.3629389200354087,0.491410307630843,0.4175152749490835,0.4357392636486943,0.5517283692265499,3389
last_24_mean_l2,0.9,2.205867695808411,0.37375178316690444,0.4186975629244906,0.39495006595063126,0.4357392636486943,0.5517283692265499,2804
last_24_mean_l2,0.925,2.330177128314972,0.3945378151260504,0.3751498202157411,0.38459963137415526,0.4357392636486943,0.5517283692265499,2380
last_24_mean_l2,0.95,2.532836294174194,0.4207383279044517,0.309628445864962,0.3567318757192175,0.4357392636486943,0.5517283692265499,1842
last_24_mean_l2,0.975,2.72220452427864,0.4449152542372881,0.2516979624450659,0.32151058943608063,0.4357392636486943,0.5517283692265499,1416
last_24_mean_l2,0.99,2.961633946895597,0.4716796875,0.19296843787455054,0.27388715622341936,0.4357392636486943,0.5517283692265499,1024
last_72_mean_l2,0.5,1.726459801197052,0.3453463960811756,0.7886536156612065,0.4803504075921645,0.4351632922280517,0.551187253620178,5716
last_72_mean_l2,0.6,1.7866633892059327,0.34384441087613293,0.7275269676388334,0.4669829465316066,0.4351632922280517,0.551187253620178,5296
last_72_mean_l2,0.7,1.8523637413978575,0.3388395622548007,0.6556132640831003,0.44677375442417644,0.4351632922280517,0.551187253620178,4843
last_72_mean_l2,0.8,1.9503807783126832,0.34581654420478786,0.5829005193767479,0.43409699494198156,0.4351632922280517,0.551187253620178,4219
last_72_mean_l2,0.85,2.0385406970977784,0.3589189189189189,0.5305633240111866,0.428179912945349,0.4351632922280517,0.551187253620178,3700
last_72_mean_l2,0.9,2.140279936790466,0.3735469682689287,0.47502996404314823,0.418220189940204,0.4351632922280517,0.551187253620178,3183
last_72_mean_l2,0.925,2.2020585596561455,0.376997915218902,0.4334798242109469,0.4032707675153317,0.4351632922280517,0.551187253620178,2878
last_72_mean_l2,0.95,2.3390763282775877,0.4027777777777778,0.3707550938873352,0.38610359891824425,0.4351632922280517,0.551187253620178,2304
last_72_mean_l2,0.975,2.5647024750709533,0.45013123359580054,0.27407111466240514,0.34070027315619567,0.4351632922280517,0.551187253620178,1524
last_72_mean_l2,0.99,2.798498609066008,0.480225988700565,0.20375549340791052,0.2861150070126227,0.4351632922280517,0.551187253620178,1062
mean_mse,0.5,0.04468148574233055,0.34757248241550864,0.8094286855773072,0.48631781084973597,0.4488465986055473,0.561640752528442,5829
mean_mse,0.6,0.04755436927080155,0.33697632058287796,0.7391130643228127,0.4629050419116727,0.4488465986055473,0.561640752528442,5490
mean_mse,0.7,0.052247614786028865,0.33833233353329334,0.6759888134238913,0.4509594882729211,0.4488465986055473,0.561640752528442,5001
mean_mse,0.8,0.0580279104411602,0.3488372093023256,0.617259288853376,0.44575879976918636,0.4488465986055473,0.561640752528442,4429
mean_mse,0.85,0.06194928251206874,0.35636989670437774,0.5789053136236516,0.4411630385142335,0.4488465986055473,0.561640752528442,4066
mean_mse,0.9,0.06871785074472428,0.37417123090227733,0.5185777067518977,0.434695244474213,0.4488465986055473,0.561640752528442,3469
mean_mse,0.925,0.0736843969672919,0.38471894984853583,0.45665201757890533,0.4176105224698575,0.4488465986055473,0.561640752528442,2971
mean_mse,0.95,0.08160240203142158,0.4195624195624196,0.3907311226528166,0.40463384360777827,0.4488465986055473,0.561640752528442,2331
mean_mse,0.975,0.10624547824263571,0.5024038461538461,0.250499400719137,0.3343108504398827,0.4488465986055473,0.561640752528442,1248
mean_mse,0.99,0.12466446600854393,0.5199501246882793,0.16660007990411507,0.25234493192133134,0.4488465986055473,0.561640752528442,802
mean_abs,0.5,0.14308694750070572,0.3487066031313819,0.8186176588094287,0.4890798424633011,0.4457649777934314,0.556307989582895,5876
mean_abs,0.6,0.14718309342861174,0.33884297520661155,0.7534958050339593,0.4674680877432148,0.4457649777934314,0.556307989582895,5566
mean_abs,0.7,0.15259635746479033,0.33424603950713866,0.682780663204155,0.4487920168067227,0.4457649777934314,0.556307989582895,5113
mean_abs,0.8,0.15986116826534272,0.3388937664618086,0.6168597682780663,0.43745573027340984,0.4457649777934314,0.556307989582895,4556
