epoch,loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
1,0.03345862030982971,0.22368855774402618,0.7534853219985962,0.03735130652785301,0.16853615641593933,0.6972951292991638,0.0010000000474974513
2,0.029675351455807686,0.31668758392333984,0.8268970847129822,0.03866282105445862,0.16822005808353424,0.7247210741043091,0.0010000000474974513
3,0.02628708817064762,0.40128445625305176,0.8735190629959106,0.04171808063983917,0.17687439918518066,0.7398380637168884,0.0010000000474974513
4,0.022836819291114807,0.49852997064590454,0.9086971879005432,0.04646312817931175,0.1920095980167389,0.7363685965538025,0.0010000000474974513
5,0.019222652539610863,0.6131749153137207,0.9381611943244934,0.05102207511663437,0.201164111495018,0.7689452171325684,0.0010000000474974513
6,0.016591500490903854,0.6928855180740356,0.9552727937698364,0.058804284781217575,0.21154466271400452,0.7644633650779724,0.0010000000474974513
7,0.01338567677885294,0.7838078141212463,0.9716440439224243,0.06575404107570648,0.25243860483169556,0.7804745435714722,0.0010000000474974513
8,0.011379547417163849,0.8400298357009888,0.9800565838813782,0.07480145990848541,0.24930863082408905,0.7909207344055176,0.0010000000474974513
9,0.009222378022968769,0.8879622220993042,0.987098217010498,0.08214213699102402,0.2469175159931183,0.7792109251022339,0.0010000000474974513
10,0.006189980544149876,0.945841372013092,0.9942354559898376,0.10811981558799744,0.25401178002357483,0.7729318141937256,0.0005000000237487257
11,0.005320720840245485,0.9593728184700012,0.9957202672958374,0.1230732724070549,0.2762174606323242,0.7827833890914917,0.0005000000237487257
12,0.004841567017138004,0.9655468463897705,0.9964998364448547,0.10632800310850143,0.2978917360305786,0.787736713886261,0.0005000000237487257
13,0.003865389386191964,0.9770766496658325,0.9977455139160156,0.1416058987379074,0.2539859116077423,0.7757068872451782,0.0005000000237487257
14,0.003696876810863614,0.9796237945556641,0.9979137778282166,0.13989296555519104,0.301114559173584,0.7758610844612122,0.0005000000237487257
15,0.003375768195837736,0.9826589226722717,0.9982641339302063,0.1367431879043579,0.3001691699028015,0.7870777249336243,0.0005000000237487257
16,0.00289556966163218,0.9869449138641357,0.998706042766571,0.15786568820476532,0.3099652826786041,0.7833534479141235,0.0005000000237487257
17,0.0026730454992502928,0.9887787103652954,0.998913586139679,0.13401317596435547,0.311269074678421,0.7819501757621765,0.0005000000237487257
18,0.0023404608946293592,0.9913763999938965,0.999157190322876,0.15634730458259583,0.289580762386322,0.7938205599784851,0.0005000000237487257
19,0.0023718506563454866,0.9909271001815796,0.9991347193717957,0.16410650312900543,0.3013212978839874,0.7814971208572388,0.0005000000237487257
20,0.0011508621973916888,0.997930645942688,0.9998002052307129,0.19165822863578796,0.3030639886856079,0.7678872346878052,0.0002500000118743628
21,0.001302935415878892,0.9970141649246216,0.9997235536575317,0.19069495797157288,0.303494393825531,0.7731372714042664,0.0002500000118743628
