epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.03991933539509773,0.1340695023536682,0.02959562838077545,0.11110012233257294,0.0010000000474974513
2,0.02398386411368847,0.0998065322637558,0.02420976385474205,0.09872664511203766,0.0010000000474974513
3,0.022237733006477356,0.09448475390672684,0.023577673360705376,0.09704016894102097,0.0010000000474974513
4,0.021829666569828987,0.09342307597398758,0.02188362181186676,0.09348035603761673,0.0010000000474974513
5,0.01895637810230255,0.08566854894161224,0.01935478299856186,0.08619914203882217,0.0010000000474974513
6,0.01722465455532074,0.08019731938838959,0.018045708537101746,0.08119703829288483,0.0010000000474974513
7,0.015714578330516815,0.07553814351558685,0.016572529450058937,0.07698353379964828,0.0010000000474974513
8,0.01454107090830803,0.07179223001003265,0.01562522165477276,0.0738290473818779,0.0010000000474974513
9,0.013594035059213638,0.06865772604942322,0.014633947052061558,0.07130525261163712,0.0010000000474974513
10,0.012779366225004196,0.06595385819673538,0.013944130390882492,0.06902696937322617,0.0010000000474974513
11,0.01216804888099432,0.06383132934570312,0.013326368294656277,0.06611869484186172,0.0010000000474974513
12,0.011749118566513062,0.062277596443891525,0.012713376432657242,0.0641341358423233,0.0010000000474974513
13,0.011365557089447975,0.06089860573410988,0.012529798783361912,0.06481657177209854,0.0010000000474974513
14,0.011068818159401417,0.059834375977516174,0.01221713051199913,0.06347537040710449,0.0010000000474974513
15,0.010823993943631649,0.05901293084025383,0.011968246661126614,0.06170540675520897,0.0010000000474974513
16,0.01065040472894907,0.05843750759959221,0.012554744258522987,0.06434103101491928,0.0010000000474974513
17,0.0104670450091362,0.057750605046749115,0.011854713782668114,0.06104815751314163,0.0010000000474974513
18,0.010326161049306393,0.057224903255701065,0.011794998310506344,0.06044449284672737,0.0010000000474974513
19,0.010197529569268227,0.05675492435693741,0.01143655739724636,0.05978997051715851,0.0010000000474974513
20,0.010419114492833614,0.057522762566804886,0.011597009375691414,0.05981725826859474,0.0010000000474974513
21,0.010145124047994614,0.05630756542086601,0.011210720054805279,0.05923033878207207,0.0010000000474974513
22,0.009884870611131191,0.05559816583991051,0.011036518029868603,0.058198533952236176,0.0010000000474974513
23,0.009719579480588436,0.05498167499899864,0.011067671701312065,0.05840512737631798,0.0010000000474974513
24,0.0097160330042243,0.054971374571323395,0.011502095498144627,0.059493549168109894,0.0010000000474974513
25,0.009489860385656357,0.05396176874637604,0.010506986640393734,0.05725226178765297,0.0005000000237487257
26,0.009296831674873829,0.053358860313892365,0.010471535846590996,0.05727895349264145,0.0005000000237487257
27,0.009217067621648312,0.05302657559514046,0.010311396792531013,0.056789495050907135,0.0005000000237487257
28,0.009137035347521305,0.052746690809726715,0.010231923311948776,0.05651594325900078,0.0005000000237487257
29,0.009128437377512455,0.052726395428180695,0.010176310315728188,0.05596602335572243,0.0005000000237487257
30,0.00908294040709734,0.05255075916647911,0.010272104293107986,0.055966053158044815,0.0005000000237487257
