model_name,threshold,threshold_source,accuracy,precision,recall,f1,pr_auc,roc_auc,event_precision,event_recall,event_f1,event_count
cnn_lstm,0.245,validation_f1_sweep,0.8339227077544834,0.8149913344887348,0.6793066088840737,0.7409887728973803,0.8397272164760435,0.881755116804176,0.631578947368421,1.0,0.7741935483870968,22
gru,0.495,validation_f1_sweep,0.8044960848699166,0.8733944954128441,0.5157096424702059,0.6485013623978202,0.8219607126275902,0.8759687565513392,0.6470588235294118,0.9166666666666666,0.7586206896551724,22
lstm,0.418,validation_f1_sweep,0.673149785299318,0.5225292506845904,0.7580353918382088,0.6186265841438255,0.6376647429892269,0.7575577512061827,0.5714285714285714,1.0,0.7272727272727273,22
cnn_gru,0.333,validation_f1_sweep,0.7926244001010356,0.8774279973208305,0.47309498013723367,0.6147348662599719,0.8215534219179237,0.8731117852320109,0.7333333333333333,0.9166666666666666,0.8148148148148148,22
