epoch,loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
1,0.03345883637666702,0.22374124825000763,0.7535287737846375,0.037311892956495285,0.16765406727790833,0.6962531208992004,0.0010000000474974513
2,0.02954460307955742,0.31924423575401306,0.8288413882255554,0.03974346071481705,0.16833151876926422,0.7112998962402344,0.0010000000474974513
3,0.02609342150390148,0.41104617714881897,0.8756005167961121,0.04114557430148125,0.17824921011924744,0.7426727414131165,0.0010000000474974513
4,0.022474899888038635,0.5203968286514282,0.9121473431587219,0.042019378393888474,0.1926124542951584,0.7638399600982666,0.0010000000474974513
5,0.019085392355918884,0.6172392964363098,0.9389186501502991,0.04987374693155289,0.19184832274913788,0.7569419741630554,0.0010000000474974513
6,0.016180427744984627,0.7002711296081543,0.9574729800224304,0.06102200597524643,0.23838287591934204,0.7754769325256348,0.0010000000474974513
7,0.013984326273202896,0.7683587074279785,0.9690243601799011,0.0674193724989891,0.23404842615127563,0.7827816009521484,0.0010000000474974513
8,0.012269982136785984,0.8111951947212219,0.9766809940338135,0.06455548107624054,0.259282648563385,0.8022727370262146,0.0010000000474974513
9,0.010032175108790398,0.8680419325828552,0.9845767617225647,0.06722444295883179,0.24795567989349365,0.7957722544670105,0.0010000000474974513
10,0.00798989087343216,0.9133528470993042,0.990403950214386,0.07493491470813751,0.29014208912849426,0.809273362159729,0.0010000000474974513
11,0.006824704352766275,0.9344467520713806,0.9930107593536377,0.0918254479765892,0.30436182022094727,0.8115920424461365,0.0010000000474974513
12,0.0061326827853918076,0.9461519718170166,0.9944257140159607,0.09688391536474228,0.2807851731777191,0.794060230255127,0.0010000000474974513
13,0.005081429611891508,0.9634827375411987,0.9961671829223633,0.1116502657532692,0.2771272659301758,0.8002044558525085,0.0010000000474974513
14,0.0030725584365427494,0.9847381114959717,0.9985565543174744,0.12785516679286957,0.32804015278816223,0.8082672357559204,0.0005000000237487257
15,0.002488863654434681,0.9901076555252075,0.9990412592887878,0.15041784942150116,0.3049091696739197,0.7945592403411865,0.0005000000237487257
16,0.0022199058439582586,0.9919636845588684,0.9992364645004272,0.13684067130088806,0.3490586280822754,0.8126651644706726,0.0005000000237487257
17,0.0021207043901085854,0.9925379157066345,0.9992942214012146,0.13469116389751434,0.3609306514263153,0.8111969828605652,0.0005000000237487257
18,0.0018907692283391953,0.9938431978225708,0.9994332790374756,0.14694766700267792,0.326246440410614,0.8010250329971313,0.0005000000237487257
19,0.0019516610773280263,0.993348240852356,0.9993826746940613,0.1399989277124405,0.366230309009552,0.8113202452659607,0.0005000000237487257
20,0.0015847337199375033,0.9959102272987366,0.9996062517166138,0.15095418691635132,0.3267998993396759,0.8060792088508606,0.0005000000237487257
21,0.001485296175815165,0.9963312149047852,0.9996483325958252,0.16264019906520844,0.3439018130302429,0.7999395132064819,0.0005000000237487257
22,0.0008115778909996152,0.9988938570022583,0.9998958110809326,0.17321181297302246,0.3448290228843689,0.7938438057899475,0.0002500000118743628
23,0.0011830144794657826,0.9977704286575317,0.9996886849403381,0.14543995261192322,0.3262547254562378,0.7942020893096924,0.0002500000118743628
