epoch,loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
1,0.5485385656356812,0.2314607948064804,0.7637528777122498,0.6114658713340759,0.15229783952236176,0.6820461750030518,0.0010000000474974513
2,0.4637877941131592,0.3586716651916504,0.8436708450317383,0.4726960361003876,0.1741897463798523,0.7248207926750183,0.0010000000474974513
3,0.4160018265247345,0.44181329011917114,0.8833655714988708,0.5017365217208862,0.16915513575077057,0.724005401134491,0.0010000000474974513
4,0.3423379361629486,0.5348509550094604,0.9185550808906555,0.7554755806922913,0.14869576692581177,0.6985422372817993,0.0010000000474974513
5,0.2697386145591736,0.6514038443565369,0.9470166563987732,0.5093870162963867,0.19413040578365326,0.7435712814331055,0.0005000000237487257
6,0.23954440653324127,0.7036131620407104,0.9573640823364258,0.513920783996582,0.19668897986412048,0.7583466172218323,0.0005000000237487257
7,0.2199527621269226,0.7391123175621033,0.9642898440361023,0.5216427445411682,0.21389204263687134,0.766452431678772,0.0005000000237487257
8,0.20095190405845642,0.7729676961898804,0.9701617360115051,0.6893819570541382,0.21786868572235107,0.7596357464790344,0.0005000000237487257
9,0.18287231028079987,0.802609920501709,0.9753796458244324,0.6238720417022705,0.206965833902359,0.7482579350471497,0.0005000000237487257
10,0.16234271228313446,0.8397033214569092,0.9806201457977295,0.640617311000824,0.20272326469421387,0.7243925333023071,0.0005000000237487257
11,0.12733054161071777,0.8918829560279846,0.9879212379455566,0.6408219933509827,0.22169508039951324,0.7351462841033936,0.0002500000118743628
12,0.1160087138414383,0.9046750068664551,0.9897559285163879,0.7617954015731812,0.2359134554862976,0.7256138920783997,0.0002500000118743628
13,0.10580332577228546,0.9195690155029297,0.9914450645446777,0.749741792678833,0.21906141936779022,0.6891733407974243,0.0002500000118743628
14,0.09958548098802567,0.9266753196716309,0.9924169778823853,0.7505738735198975,0.23676876723766327,0.7103797197341919,0.0002500000118743628
15,0.0933108851313591,0.9354775547981262,0.9932824373245239,0.6789835095405579,0.25300902128219604,0.7216700315475464,0.0002500000118743628
16,0.08624027669429779,0.9408437609672546,0.9941984415054321,0.7619143724441528,0.2332981526851654,0.6902554035186768,0.0002500000118743628
17,0.08218566328287125,0.9468629360198975,0.9947384595870972,0.7809670567512512,0.239517480134964,0.6884818077087402,0.0002500000118743628
18,0.06343784183263779,0.9663333892822266,0.9967397451400757,0.8043104410171509,0.2501738369464874,0.698723554611206,0.0001250000059371814
19,0.06314966827630997,0.9652301073074341,0.9967176914215088,0.7505432367324829,0.2758057713508606,0.7028916478157043,0.0001250000059371814
20,0.05862121656537056,0.9683924913406372,0.9971385598182678,0.7782585024833679,0.2683826684951782,0.7006586194038391,0.0001250000059371814
21,0.05927227810025215,0.966282069683075,0.9969363212585449,0.8191313147544861,0.2703521251678467,0.6975393891334534,0.0001250000059371814
22,0.049741536378860474,0.9756500124931335,0.9978459477424622,0.7867410778999329,0.27298998832702637,0.6962683200836182,6.25000029685907e-05
23,0.04735303670167923,0.9768227934837341,0.9979575872421265,0.8670263886451721,0.2640286684036255,0.6886855363845825,6.25000029685907e-05
