group,window_count,mean_top_feature_ratio,top_1_feature,top_2_feature,top_3_feature,top_4_feature,top_5_feature,top_6_feature,top_7_feature,top_8_feature,top_9_feature,top_10_feature,top_1_value,top_2_value,top_3_value,top_4_value,top_5_value,top_6_value,top_7_value,top_8_value,top_9_value,top_10_value
true_positive,1538,18.554620279642943,sensor_5_min,sensor_5_avg_cos,sensor_5_avg,generator_bearing_temp_gap,sensor_14_avg,sensor_5_max,transformer_temp_spread,sensor_12_avg,sensor_11_avg,sensor_52_min,18.554620279642943,14.506167307679416,10.159903684206375,7.319847165351264,7.1010012491659715,4.736340950401223,3.693750702716832,3.515434615700556,2.8450513349683333,2.3348573071605827
false_negative,965,0.7404540945626075,sensor_45_reset_flag,sensor_21_avg,sensor_10_avg,wind_speed_3_min,sensor_50_reset_flag,sensor_39_avg,sensor_14_avg,sensor_12_avg,sensor_25_avg,inverter_temp_spread,0.7404540945626075,0.6963144424226705,0.671169780740912,0.6509521604440085,0.625801608992543,0.6014230767022918,0.5958680978822913,0.5938743309419741,0.5936456895853472,0.5874577390066409
false_positive,2941,2.4200609813033074,sensor_5_min,sensor_5_avg_cos,sensor_11_avg,generator_bearing_temp_gap,sensor_42_avg_sin,sensor_42_avg,sensor_5_avg,sensor_22_avg,power_29_std,sensor_12_avg,2.4200609813033074,1.9487334629984252,1.3882391503113471,1.3673686127538125,1.3227754714870854,1.3129490442966323,1.3006084425407582,1.2456669734606278,1.235495543837403,1.2233123719959624
true_negative,1977,0.7448777267209383,sensor_45_reset_flag,sensor_50_reset_flag,wind_speed_3_min,inverter_temp_spread,sensor_12_avg,power_30_max,sensor_25_avg,sensor_13_avg,sensor_14_avg,sensor_9_avg,0.7448777267209383,0.6611266143229159,0.6152769608566222,0.6044125174891706,0.5713613836956855,0.556616474697165,0.546002869857225,0.5422309324198175,0.5182024673715888,0.498760047834171
