model_name,threshold,event_precision,event_recall,event_f1,event_pr_auc,event_roc_auc,window_precision,window_recall,window_f1,window_pr_auc,window_roc_auc
cnn_gru,0.9000000000000002,0.8461538461538461,0.9166666666666666,0.88,0.8396897084397085,0.875,0.9722033898305085,0.3913755458515284,0.5580852305896089,0.862148373695236,0.8511428680872486
cnn_lstm,0.8000000000000002,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.8817567304699659,0.8583333333333334,0.9601328903654485,0.3943777292576419,0.559102340878313,0.8460949190432223,0.8214524780838559
lstm,0.7500000000000002,1.0,0.5833333333333334,0.7368421052631579,0.8730875391092111,0.8,1.0,0.09115720524017468,0.16708354177088544,0.7659600052723263,0.7484889899421041
gru,0.8500000000000002,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.8204758204758206,0.775,0.9015384615384615,0.15993449781659388,0.2716736207695874,0.7286156342289106,0.7302781038294426
