epoch,loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
1,0.6368942856788635,0.1650121510028839,0.6874784231185913,0.601164698600769,0.18584708869457245,0.7272762656211853,0.0010000000474974513
2,0.5576620697975159,0.20532087981700897,0.758825957775116,0.6501563191413879,0.17155443131923676,0.7124351263046265,0.0010000000474974513
3,0.5334306955337524,0.22496795654296875,0.7731825113296509,0.6468891501426697,0.13977813720703125,0.6802211999893188,0.0010000000474974513
4,0.4890308380126953,0.2999294698238373,0.8202784061431885,0.5847157835960388,0.1932690143585205,0.7539635896682739,0.0005000000237487257
5,0.43566057085990906,0.38306617736816406,0.8638629913330078,0.5755314230918884,0.21116474270820618,0.7795930504798889,0.0005000000237487257
6,0.3911840319633484,0.44461727142333984,0.8939815759658813,0.5739268660545349,0.20211681723594666,0.775265097618103,0.0005000000237487257
7,0.34407633543014526,0.5086323022842407,0.9177165627479553,0.5308933854103088,0.19501614570617676,0.7518190145492554,0.0005000000237487257
8,0.2977159917354584,0.5867533683776855,0.9377598166465759,0.49680253863334656,0.22166725993156433,0.7882897853851318,0.0002500000118743628
9,0.27683740854263306,0.6209806203842163,0.9454078674316406,0.48134398460388184,0.23857203125953674,0.7999919652938843,0.0002500000118743628
10,0.2565236985683441,0.651464581489563,0.9522948265075684,0.5418573617935181,0.23479074239730835,0.7876810431480408,0.0002500000118743628
11,0.24380676448345184,0.6642814874649048,0.9563203454017639,0.5533965229988098,0.2384570986032486,0.7885133028030396,0.0002500000118743628
12,0.21681343019008636,0.7053531408309937,0.9643431901931763,0.5309965014457703,0.23091600835323334,0.7769603729248047,0.0001250000059371814
13,0.2100832164287567,0.7148336172103882,0.965968668460846,0.5009481906890869,0.24454279243946075,0.7841559648513794,0.0001250000059371814
14,0.20455408096313477,0.7193963527679443,0.9674549102783203,0.5154264569282532,0.23401211202144623,0.7752242684364319,0.0001250000059371814
15,0.1996278613805771,0.7321249842643738,0.9690305590629578,0.5341283679008484,0.23285827040672302,0.7704566121101379,0.0001250000059371814
16,0.18474388122558594,0.7552634477615356,0.9727391600608826,0.5223281979560852,0.23678012192249298,0.7734751105308533,6.25000029685907e-05
17,0.18200993537902832,0.759172260761261,0.9734397530555725,0.5113617181777954,0.2473582625389099,0.7790190577507019,6.25000029685907e-05
18,0.1787344366312027,0.7650377750396729,0.9742760062217712,0.5248520970344543,0.24625945091247559,0.7758773565292358,6.25000029685907e-05
19,0.17495761811733246,0.7696567177772522,0.9750405550003052,0.5220844149589539,0.2451716810464859,0.7776917815208435,6.25000029685907e-05
20,0.16917262971401215,0.7798546552658081,0.9764046669006348,0.5286177396774292,0.25093555450439453,0.7770330905914307,3.125000148429535e-05
21,0.1662297546863556,0.7854931354522705,0.976973831653595,0.5474889874458313,0.25112617015838623,0.778057336807251,3.125000148429535e-05
22,0.16524870693683624,0.7847379446029663,0.9772535562515259,0.5534747838973999,0.25520989298820496,0.7809045910835266,3.125000148429535e-05
23,0.1642589122056961,0.7880030870437622,0.977577805519104,0.5309144258499146,0.25118735432624817,0.7729833722114563,3.125000148429535e-05
24,0.16133412718772888,0.7905529737472534,0.9781240224838257,0.5418854355812073,0.2521456480026245,0.7736968398094177,3.125000148429535e-05
25,0.15825031697750092,0.7967584133148193,0.9788213968276978,0.5453073978424072,0.2488149255514145,0.7678201794624329,1.5625000742147677e-05
