epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.038983121514320374,0.13122142851352692,0.022181600332260132,0.09803783148527145,0.0010000000474974513
2,0.02313869632780552,0.09644337743520737,0.016600292176008224,0.08295610547065735,0.0010000000474974513
3,0.0173836387693882,0.08210445195436478,0.011366856284439564,0.06864388287067413,0.0010000000474974513
4,0.014322469010949135,0.07311341166496277,0.010304727591574192,0.06389042735099792,0.0010000000474974513
5,0.012936806306242943,0.06820566207170486,0.00968740414828062,0.06244548037648201,0.0010000000474974513
6,0.012015976943075657,0.0646287202835083,0.00882270559668541,0.057966817170381546,0.0010000000474974513
7,0.011409257538616657,0.06217696890234947,0.0084305414929986,0.05563250556588173,0.0010000000474974513
8,0.010972007177770138,0.060544200241565704,0.008154383860528469,0.0544462725520134,0.0010000000474974513
9,0.01058506965637207,0.05915027856826782,0.00792498979717493,0.05213696509599686,0.0010000000474974513
10,0.01035284623503685,0.05820136144757271,0.007782370317727327,0.05216866359114647,0.0010000000474974513
11,0.010052915662527084,0.057098932564258575,0.00737613532692194,0.05046185106039047,0.0010000000474974513
12,0.009922496974468231,0.05651526525616646,0.007365419529378414,0.05231394246220589,0.0010000000474974513
13,0.00955358985811472,0.05512775480747223,0.00736272195354104,0.0503176674246788,0.0010000000474974513
14,0.009104304946959019,0.05334837734699249,0.006884554401040077,0.048220425844192505,0.0005000000237487257
15,0.00899480376392603,0.052901484072208405,0.006887483410537243,0.04760604724287987,0.0005000000237487257
16,0.008888506330549717,0.05240950733423233,0.006812490057200193,0.047659747302532196,0.0005000000237487257
17,0.008692530915141106,0.05165502056479454,0.0066382791846990585,0.04659700021147728,0.0002500000118743628
18,0.008616523817181587,0.05136493220925331,0.006510383915156126,0.04680889844894409,0.0002500000118743628
19,0.008579694665968418,0.05118270963430405,0.00650009885430336,0.04634285345673561,0.0002500000118743628
20,0.008534918539226055,0.05098714306950569,0.006604071240872145,0.046283043920993805,0.0002500000118743628
21,0.00841554906219244,0.05051393806934357,0.00640433793887496,0.045592088252305984,0.0001250000059371814
22,0.008376224897801876,0.05037064105272293,0.006479201838374138,0.04569205641746521,0.0001250000059371814
23,0.008375965990126133,0.05031957849860191,0.00658172182738781,0.04552381485700607,0.0001250000059371814
24,0.008303527720272541,0.05005399137735367,0.00641684839501977,0.04526478797197342,6.25000029685907e-05
25,0.008283549919724464,0.04997263103723526,0.006322758737951517,0.045314788818359375,6.25000029685907e-05
26,0.008253577165305614,0.04985993728041649,0.0063301376067101955,0.04533008858561516,3.125000148429535e-05
27,0.008241480216383934,0.04980935528874397,0.0063858311623334885,0.04522887244820595,3.125000148429535e-05
28,0.008237452246248722,0.049777865409851074,0.006351574324071407,0.04516320675611496,1.5625000742147677e-05
29,0.008225171826779842,0.04973720759153366,0.006341719068586826,0.04516184702515602,1.5625000742147677e-05
30,0.00821741297841072,0.0497191958129406,0.00632427679374814,0.04517039656639099,9.999999747378752e-06
