feature,mean_pb_r,median_pb_r,std_pb_r,min_pb_r,max_pb_r,mean_abs_pb_r,median_abs_pb_r,pb_sign_consistency,pb_significant_count,pb_significant_ratio,dataset_count,mean_sp_rho,median_sp_rho,std_sp_rho,min_sp_rho,max_sp_rho,mean_abs_sp_rho,median_abs_sp_rho,sp_sign_consistency,sp_significant_count,sp_significant_ratio
sensor_36_avg,0.048646678201603684,0.048646678201603684,0.0,0.048646678201603684,0.048646678201603684,0.048646678201603684,0.048646678201603684,1.0,1,1.0,1,0.04183528333881488,0.04183528333881488,0.0,0.04183528333881488,0.04183528333881488,0.04183528333881488,0.04183528333881488,1.0,1,1.0
sensor_32_avg,0.04819148402267959,0.04819148402267959,0.0,0.04819148402267959,0.04819148402267959,0.04819148402267959,0.04819148402267959,1.0,1,1.0,1,0.04985190683815226,0.04985190683815226,0.0,0.04985190683815226,0.04985190683815226,0.04985190683815226,0.04985190683815226,1.0,1,1.0
sensor_33_avg,0.048149891175195955,0.048149891175195955,0.0,0.048149891175195955,0.048149891175195955,0.048149891175195955,0.048149891175195955,1.0,1,1.0,1,0.05165158506804136,0.05165158506804136,0.0,0.05165158506804136,0.05165158506804136,0.05165158506804136,0.05165158506804136,1.0,1,1.0
sensor_21_avg,0.04641423626767013,0.04641423626767013,0.0,0.04641423626767013,0.04641423626767013,0.04641423626767013,0.04641423626767013,1.0,1,1.0,1,0.03229110205312579,0.03229110205312579,0.0,0.03229110205312579,0.03229110205312579,0.03229110205312579,0.03229110205312579,1.0,1,1.0
sensor_11_avg,-0.0439554039170688,-0.0439554039170688,0.0,-0.0439554039170688,-0.0439554039170688,0.0439554039170688,0.0439554039170688,1.0,1,1.0,1,-0.01804434224271179,-0.01804434224271179,0.0,-0.01804434224271179,-0.01804434224271179,0.01804434224271179,0.01804434224271179,1.0,1,1.0
reactive_power_28_max,0.04331512194112577,0.04331512194112577,0.0,0.04331512194112577,0.04331512194112577,0.04331512194112577,0.04331512194112577,1.0,1,1.0,1,0.046171854083583395,0.046171854083583395,0.0,0.046171854083583395,0.046171854083583395,0.046171854083583395,0.046171854083583395,1.0,1,1.0
sensor_48,0.04319010540371456,0.04319010540371456,0.0,0.04319010540371456,0.04319010540371456,0.04319010540371456,0.04319010540371456,1.0,1,1.0,1,0.0429776285800942,0.0429776285800942,0.0,0.0429776285800942,0.0429776285800942,0.0429776285800942,0.0429776285800942,1.0,1,1.0
reactive_power_27_min,-0.04236376817309901,-0.04236376817309901,0.0,-0.04236376817309901,-0.04236376817309901,0.04236376817309901,0.04236376817309901,1.0,1,1.0,1,-0.046493285747135044,-0.046493285747135044,0.0,-0.046493285747135044,-0.046493285747135044,0.046493285747135044,0.046493285747135044,1.0,1,1.0
sensor_12_avg,-0.042177843404493834,-0.042177843404493834,0.0,-0.042177843404493834,-0.042177843404493834,0.042177843404493834,0.042177843404493834,1.0,1,1.0,1,-0.004889560291271846,-0.004889560291271846,0.0,-0.004889560291271846,-0.004889560291271846,0.004889560291271846,0.004889560291271846,1.0,1,1.0
sensor_35_avg,0.041785062044088724,0.041785062044088724,0.0,0.041785062044088724,0.041785062044088724,0.041785062044088724,0.041785062044088724,1.0,1,1.0,1,0.03099814486540461,0.03099814486540461,0.0,0.03099814486540461,0.03099814486540461,0.03099814486540461,0.03099814486540461,1.0,1,1.0
sensor_31_avg,0.0413332468566835,0.0413332468566835,0.0,0.0413332468566835,0.0413332468566835,0.0413332468566835,0.0413332468566835,1.0,1,1.0,1,0.040041207686146725,0.040041207686146725,0.0,0.040041207686146725,0.040041207686146725,0.040041207686146725,0.040041207686146725,1.0,1,1.0
