model,pr_auc,roc_auc,best_val_quantile,best_val_precision,best_val_recall,best_val_f1,best_val_event_f1,p95_precision,p95_recall,p95_f1,p95_event_f1,test_oracle_precision,test_oracle_recall,test_oracle_f1
dense_ae,0.43621744433563364,0.5520650940709294,0.8,0.343380218798839,0.6144626448262086,0.4405614437124033,0.6666666666666666,0.4157596865476708,0.3815421494206951,0.3979166666666666,0.6,0.34003805381897256,0.9996004794246903,0.5074536051110435
cnn_gru,0.44192127835826844,0.5654496832349372,0.8,0.3820362965241464,0.4962045545345585,0.4316996871741397,0.6666666666666666,0.4926413632842757,0.2540950858969237,0.3352662098049552,0.6428571428571429,0.3481097108969607,0.9380743108270075,0.5077854671280276
cnn_lstm,0.4307622705491075,0.5691378560448892,0.8,0.3873078181223421,0.4730323611666001,0.4258992805755395,0.6666666666666666,0.5185537583254044,0.2177387135437475,0.3066966797974114,0.56,0.3401807723911257,0.9924091090691171,0.5066802651708312
lstm_ae,0.4203387436624552,0.5608323691927556,0.8,0.3829923273657289,0.4786256492209348,0.4255016870893269,0.6666666666666666,0.4816326530612245,0.2357171394326807,0.3165236051502146,0.6428571428571429,0.3381538045681849,0.9996004794246903,0.505352454049687
gru_ae,0.424260320359904,0.5634798632044149,0.8,0.3847176079734219,0.4626448262085497,0.4200979502992926,0.6666666666666666,0.4981378026070763,0.2137435077906512,0.2991333519709253,0.6153846153846154,0.3398967952199891,1.0,0.5073477247390291
lstm_ae_44_25_8_26_44,0.4212174685540605,0.5557892952206844,0.8,0.3834437086092715,0.4626448262085497,0.4193373166757197,0.6666666666666666,0.5034904013961605,0.2305233719536556,0.3162510276788161,0.5925925925925926,0.3372860800431209,1.0,0.5044336960902862
