epoch,loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
1,0.5496879816055298,0.21384075284004211,0.7531709671020508,0.6211481690406799,0.14904667437076569,0.6937177777290344,0.0010000000474974513
2,0.4810957610607147,0.3186728060245514,0.8207535743713379,0.4951394200325012,0.1716766059398651,0.7349809408187866,0.0010000000474974513
3,0.40414392948150635,0.45354098081588745,0.8859159350395203,0.4265654981136322,0.21274477243423462,0.7883577942848206,0.0010000000474974513
4,0.3453754186630249,0.543217658996582,0.9178850054740906,0.44807401299476624,0.1759246438741684,0.753688395023346,0.0010000000474974513
5,0.3163742125034332,0.591731607913971,0.9300380945205688,0.5390507578849792,0.16184669733047485,0.7256523370742798,0.0010000000474974513
6,0.24815179407596588,0.6959218978881836,0.9549400806427002,0.4887649416923523,0.193400040268898,0.7523550391197205,0.0005000000237487257
7,0.2220780849456787,0.7373960614204407,0.963898777961731,0.534407377243042,0.18728531897068024,0.7347134351730347,0.0005000000237487257
