epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.0379132516682148,0.12677259743213654,0.01786861941218376,0.07997709512710571,0.0010000000474974513
2,0.023701028898358345,0.09704913198947906,0.016641708090901375,0.08000104874372482,0.0010000000474974513
3,0.02250032313168049,0.09338383376598358,0.016100358217954636,0.07625879347324371,0.0010000000474974513
4,0.019662823528051376,0.08578160405158997,0.01290892343968153,0.06638094037771225,0.0010000000474974513
5,0.014207599684596062,0.06944435834884644,0.011232406832277775,0.06071387976408005,0.0010000000474974513
6,0.012357142753899097,0.06367983669042587,0.01056057307869196,0.056613046675920486,0.0010000000474974513
7,0.011423240415751934,0.06038555130362511,0.009285400621592999,0.05370933935046196,0.0010000000474974513
8,0.010671746917068958,0.057545702904462814,0.008953639306128025,0.051699645817279816,0.0010000000474974513
9,0.01015910692512989,0.0556686669588089,0.00841097254306078,0.0491953119635582,0.0010000000474974513
10,0.009835614822804928,0.05428021028637886,0.0084103187546134,0.050300441682338715,0.0010000000474974513
11,0.00952116958796978,0.05304397642612457,0.007958860136568546,0.048950258642435074,0.0010000000474974513
12,0.009279638528823853,0.05216940864920616,0.008148516528308392,0.04974713921546936,0.0010000000474974513
13,0.00913222786039114,0.05161624401807785,0.007724003400653601,0.04701213911175728,0.0010000000474974513
14,0.00899705570191145,0.051107119768857956,0.007598221302032471,0.04665939882397652,0.0010000000474974513
15,0.00883376132696867,0.050392188131809235,0.007753584999591112,0.047848980873823166,0.0010000000474974513
16,0.008676447905600071,0.0498371459543705,0.007245552726089954,0.04587286710739136,0.0010000000474974513
17,0.00851797591894865,0.04915999248623848,0.007058780174702406,0.044903647154569626,0.0010000000474974513
18,0.008334842510521412,0.04843916371464729,0.007286909967660904,0.04627564176917076,0.0010000000474974513
19,0.008297360502183437,0.048243448138237,0.007012063171714544,0.04481197148561478,0.0010000000474974513
20,0.007933041080832481,0.04671734943985939,0.006844069808721542,0.04361046478152275,0.0005000000237487257
21,0.007902514189481735,0.04656091332435608,0.006883976981043816,0.04394296929240227,0.0005000000237487257
22,0.007853035815060139,0.04636967182159424,0.006786224897950888,0.04391951858997345,0.0005000000237487257
23,0.007700503338128328,0.04572417587041855,0.0066611384972929955,0.04285072162747383,0.0002500000118743628
24,0.007641308940947056,0.04550645872950554,0.006600175518542528,0.04271246865391731,0.0002500000118743628
25,0.007611170411109924,0.04535285010933876,0.006629923824220896,0.04283419996500015,0.0002500000118743628
26,0.0075513203628361225,0.04510268196463585,0.006508908700197935,0.042215026915073395,0.0001250000059371814
27,0.007528887130320072,0.04500246047973633,0.006499181035906076,0.04216083884239197,0.0001250000059371814
28,0.007516377605497837,0.04494915157556534,0.0064619434997439384,0.04204365238547325,0.0001250000059371814
29,0.00747648486867547,0.04477416351437569,0.006471134256571531,0.041936758905649185,6.25000029685907e-05
30,0.007471162360161543,0.04475228115916252,0.0064839948900043964,0.04200517013669014,6.25000029685907e-05
