model_name,scope,asset_count,macro_accuracy,macro_precision,macro_recall,macro_f1,macro_pr_auc,macro_roc_auc,pooled_accuracy,pooled_precision,pooled_recall,pooled_f1,pooled_pr_auc,pooled_roc_auc,source,threshold
dense_ae,global,5,0.6561787245444614,0.481223383662408,0.40913705079524726,0.4097759101478179,0.42261527030041834,0.5802821070421531,0.6675324675324675,0.4932975871313673,0.48548812664907653,0.48936170212765956,0.5171660476255094,0.6370195577074776,global_export,0.695218050479889
gru_ae,global,5,0.6243683656363445,0.38757591329533775,0.37937468311670186,0.3833616387986411,0.42034501118309703,0.5879167511821317,0.6406926406926406,0.45135135135135135,0.44063324538258575,0.4459279038718291,0.487240202402205,0.6199779669776677,global_export,1.1786867618560792
dense_ae,per_asset,5,0.6042189733917009,0.37536986486031065,0.3508524924848442,0.35841765096344413,0.4477184165244818,0.5496966087391212,0.6233766233766234,0.4222222222222222,0.40105540897097625,0.41136671177266576,0.5069724780509919,0.5980639501672878,,
gru_ae,per_asset,5,0.60443699482094,0.3572486368580739,0.3599150308581137,0.35002206026732474,0.407878818940115,0.5635413667190947,0.6164502164502165,0.40588235294117647,0.3641160949868074,0.38386648122392214,0.46126870179336443,0.5928243070478469,,
