model_name,scope,asset_id,threshold,accuracy,precision,recall,f1,pr_auc,roc_auc
dense_ae,global,0,0.344,0.7047244094488189,0.0,0.0,0.0,0.24097834743900445,0.39620111731843577
dense_ae,global,10,0.344,0.6474164133738601,0.782608695652174,0.2535211267605634,0.3829787234042553,0.71519935066453,0.7373653686826842
dense_ae,global,11,0.344,0.7922705314009661,0.0,0.0,0.0,0.46907362878364406,0.6939465177784309
dense_ae,global,13,0.344,0.6624203821656051,0.0,0.0,0.0,0.4704507402703888,0.606132075471698
dense_ae,global,21,0.344,0.6730769230769231,0.0,0.0,0.0,0.23004495653876367,0.2597689075630252
