epoch,loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
1,0.5404722690582275,0.23290731012821198,0.7650147676467896,0.5761315226554871,0.1672884225845337,0.6926896572113037,0.0010000000474974513
2,0.4514349699020386,0.35722553730010986,0.8528326153755188,0.43743178248405457,0.18371963500976562,0.7444818615913391,0.0010000000474974513
3,0.37595996260643005,0.47090765833854675,0.9001709818840027,0.4848051369190216,0.1995287835597992,0.7656446695327759,0.0010000000474974513
4,0.3203730285167694,0.5648677349090576,0.9275041818618774,0.5872312784194946,0.1839285045862198,0.7387058138847351,0.0010000000474974513
5,0.27394598722457886,0.6359683275222778,0.9454674124717712,0.585136890411377,0.19844430685043335,0.7360478639602661,0.0010000000474974513
6,0.21236878633499146,0.7369265556335449,0.9657239317893982,0.5851609110832214,0.20615436136722565,0.7380571961402893,0.0005000000237487257
7,0.19504378736019135,0.7637982368469238,0.9705976843833923,0.5369328856468201,0.22594782710075378,0.7567170262336731,0.0005000000237487257
8,0.18774592876434326,0.7766566276550293,0.9728996753692627,0.6149247884750366,0.2132287472486496,0.7362567782402039,0.0005000000237487257
9,0.1625140756368637,0.8216806650161743,0.9793341159820557,0.6328986287117004,0.21603670716285706,0.7388337254524231,0.0005000000237487257
10,0.13155575096607208,0.8688784837722778,0.9859597086906433,0.6243984699249268,0.21906518936157227,0.7273831367492676,0.0002500000118743628
11,0.12581689655780792,0.8768415451049805,0.9871546030044556,0.6512086987495422,0.21721725165843964,0.7169804573059082,0.0002500000118743628
