model_name,threshold,threshold_source,accuracy,precision,recall,f1,pr_auc,roc_auc,event_precision,event_recall,event_f1,event_count
cnn_lstm,0.184,validation_f1_sweep,0.8321545844910331,0.839622641509434,0.6428313470566992,0.7281652689711597,0.8422125743480228,0.873912446999249,0.7058823529411765,1.0,0.8275862068965517,22
gru,0.20800000000000002,validation_f1_sweep,0.8163677696387976,0.887905604719764,0.5435175153485012,0.6742831541218638,0.8181238211668129,0.8734920741463786,0.631578947368421,1.0,0.7741935483870968,22
cnn_gru,0.405,validation_f1_sweep,0.8076534478403637,0.9003856041131105,0.5059588299024919,0.6478612716763006,0.8328828737494146,0.8772982597819363,0.7333333333333333,0.9166666666666666,0.8148148148148148,22
lstm,0.421,validation_f1_sweep,0.7232887092700176,0.609056603773585,0.5828819068255688,0.5956818601217937,0.6652958869932626,0.7642561525689386,0.6,1.0,0.75,22
