epoch,loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
1,0.5470051765441895,0.29041793942451477,0.786259651184082,0.5786742568016052,0.25110751390457153,0.7357121706008911,0.0010000000474974513
2,0.4987781047821045,0.34024131298065186,0.8271446228027344,0.620316207408905,0.2653309106826782,0.7522004842758179,0.0010000000474974513
3,0.4646667540073395,0.409228652715683,0.8526327013969421,0.5683431625366211,0.2716231942176819,0.7781659364700317,0.0010000000474974513
4,0.41682422161102295,0.5070571899414062,0.8844014406204224,0.5664553642272949,0.2666274905204773,0.7548882365226746,0.0010000000474974513
5,0.3647826015949249,0.5697617530822754,0.9104611873626709,0.5981488823890686,0.25862357020378113,0.7491461038589478,0.0010000000474974513
6,0.2877146601676941,0.6688051223754883,0.9420389533042908,0.5791059136390686,0.2619616985321045,0.7599698305130005,0.0005000000237487257
7,0.2645243704319,0.7018303871154785,0.9507418870925903,0.5259597897529602,0.26839038729667664,0.7617648839950562,0.0005000000237487257
