epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.07261314988136292,0.19080522656440735,0.03482005000114441,0.12794406712055206,0.0010000000474974513
2,0.03629192337393761,0.13086774945259094,0.032195501029491425,0.12054361402988434,0.0010000000474974513
3,0.03412649780511856,0.1250666081905365,0.030781958252191544,0.11690518260002136,0.0010000000474974513
4,0.03276173025369644,0.12172504514455795,0.029603037983179092,0.1148388534784317,0.0010000000474974513
5,0.031507495790719986,0.11871318519115448,0.028681010007858276,0.11515118926763535,0.0010000000474974513
6,0.0275872889906168,0.10968905687332153,0.023333683609962463,0.09891359508037567,0.0010000000474974513
7,0.02397957071661949,0.10039498656988144,0.020752446725964546,0.09143060445785522,0.0010000000474974513
8,0.0217855554074049,0.09395990520715714,0.019672956317663193,0.0881897509098053,0.0010000000474974513
9,0.020403806120157242,0.08966778963804245,0.01839875429868698,0.08358722180128098,0.0010000000474974513
10,0.019628621637821198,0.08712827414274216,0.017868593335151672,0.08165298402309418,0.0010000000474974513
11,0.019050952047109604,0.08528651297092438,0.01749083772301674,0.08008787035942078,0.0010000000474974513
12,0.01841181516647339,0.08326654881238937,0.017036452889442444,0.07875175774097443,0.0010000000474974513
13,0.018071547150611877,0.08218494802713394,0.016765683889389038,0.07781416177749634,0.0010000000474974513
14,0.017641402781009674,0.08090977370738983,0.016481656581163406,0.07719814032316208,0.0010000000474974513
15,0.017279954627156258,0.07974764704704285,0.016668621450662613,0.07731634378433228,0.0010000000474974513
16,0.016986142843961716,0.07882126420736313,0.01594020053744316,0.07506858557462692,0.0010000000474974513
17,0.01658923551440239,0.07761427760124207,0.015561462379992008,0.07411694526672363,0.0010000000474974513
18,0.016209697350859642,0.07643342018127441,0.015310343354940414,0.07292656600475311,0.0010000000474974513
19,0.015909206122159958,0.07540936022996902,0.015147464349865913,0.0722309872508049,0.0010000000474974513
20,0.015644283965229988,0.07447415590286255,0.014985751360654831,0.07147134095430374,0.0010000000474974513
