model_name,asset_id,threshold,accuracy,precision,recall,f1,pr_auc,roc_auc
lstm_ae,0,0.02145359516143799,0.6145833333333334,0.28205128205128205,0.19298245614035087,0.22916666666666666,0.30684273030277825,0.5321637426900585
lstm_ae,10,0.020102967843413352,0.5691056910569106,0.5,0.1509433962264151,0.2318840579710145,0.5362163672595799,0.5663746630727762
lstm_ae,11,0.014241049997508526,0.7806451612903226,0.46938775510204084,0.7419354838709677,0.575,0.5606049414409929,0.8400104058272633
lstm_ae,13,0.015556988622993236,0.5630252100840336,0.35,0.35,0.35,0.3503635394071341,0.45854430379746836
lstm_ae,21,0.017826082278043033,0.4423076923076923,0.14,0.13725490196078433,0.13861386138613863,0.23414265945990936,0.2972922502334267
