epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.06611043959856033,0.17947465181350708,0.035350244492292404,0.12908945977687836,0.0010000000474974513
2,0.03734127804636955,0.13125468790531158,0.03264841064810753,0.12164167314767838,0.0010000000474974513
3,0.035671357065439224,0.1262073516845703,0.03163370490074158,0.11873870342969894,0.0010000000474974513
4,0.03407970070838928,0.12258783727884293,0.030365347862243652,0.11463204771280289,0.0010000000474974513
5,0.03213300555944443,0.11854701489210129,0.025915009900927544,0.10465732961893082,0.0010000000474974513
6,0.026110447943210602,0.10352075099945068,0.019174976274371147,0.08806894719600677,0.0010000000474974513
7,0.021702613681554794,0.09220369160175323,0.01729934848845005,0.0823274701833725,0.0010000000474974513
8,0.02005377970635891,0.0873565748333931,0.015785370022058487,0.07710158079862595,0.0010000000474974513
9,0.01915154978632927,0.0846126601099968,0.01564411073923111,0.07583708316087723,0.0010000000474974513
10,0.018543094396591187,0.08270157873630524,0.015300925821065903,0.07451678067445755,0.0010000000474974513
11,0.01778595894575119,0.08034687489271164,0.01463017612695694,0.07300090789794922,0.0010000000474974513
12,0.01739487238228321,0.07907424122095108,0.014484032057225704,0.07197363674640656,0.0010000000474974513
13,0.016924122348427773,0.0774957686662674,0.014038742519915104,0.07066263258457184,0.0010000000474974513
14,0.016657618805766106,0.07658573985099792,0.013927915133535862,0.07141228020191193,0.0010000000474974513
15,0.016508009284734726,0.07605760544538498,0.013289980590343475,0.06881892681121826,0.0010000000474974513
16,0.016062431037425995,0.07472653687000275,0.013111341744661331,0.06761211156845093,0.0010000000474974513
17,0.01576780341565609,0.07379607856273651,0.012874715030193329,0.06708744913339615,0.0010000000474974513
18,0.015516911633312702,0.07301518321037292,0.012259540148079395,0.0651053860783577,0.0010000000474974513
19,0.015179798938333988,0.072016641497612,0.012409229762852192,0.06499867886304855,0.0010000000474974513
20,0.015073586255311966,0.0714971125125885,0.012186163105070591,0.06486939638853073,0.0010000000474974513
21,0.014485604129731655,0.06973477452993393,0.011993481777608395,0.06368106603622437,0.0005000000237487257
22,0.014348238706588745,0.06926693767309189,0.01158855389803648,0.0625763088464737,0.0005000000237487257
23,0.014237691648304462,0.06890083849430084,0.011586293578147888,0.062446922063827515,0.0005000000237487257
24,0.01419553067535162,0.06874510645866394,0.011674119159579277,0.06273538619279861,0.0005000000237487257
25,0.013970611616969109,0.06803056597709656,0.011366011574864388,0.06184873357415199,0.0002500000118743628
26,0.013897838070988655,0.0678001195192337,0.011286541819572449,0.061616428196430206,0.0002500000118743628
27,0.01383699756115675,0.06759373098611832,0.011243784800171852,0.061156924813985825,0.0002500000118743628
28,0.01379445567727089,0.06743788719177246,0.01122612226754427,0.06120757386088371,0.0002500000118743628
29,0.013772723264992237,0.06733707338571548,0.011169462464749813,0.060933973640203476,0.0002500000118743628
30,0.013663562014698982,0.06700792908668518,0.011146055534482002,0.06069614738225937,0.0001250000059371814
