epoch,loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
1,0.6261477470397949,0.17009547352790833,0.6860031485557556,0.5712023377418518,0.17772364616394043,0.7320343852043152,0.0010000000474974513
2,0.589088499546051,0.21023574471473694,0.727627158164978,0.7104542255401611,0.19341769814491272,0.7353907227516174,0.0010000000474974513
3,0.6092727780342102,0.1925935298204422,0.7154807448387146,0.6179526448249817,0.17031657695770264,0.7108538746833801,0.0010000000474974513
4,0.6617342233657837,0.12967956066131592,0.6240721344947815,0.7763486504554749,0.15969794988632202,0.6953904032707214,0.0010000000474974513
5,0.5718902349472046,0.20744208991527557,0.7366093397140503,0.7398298978805542,0.18974316120147705,0.7349992990493774,0.0005000000237487257
6,0.5454193353652954,0.22181572020053864,0.7566390037536621,0.6157900094985962,0.19378042221069336,0.7528116106987,0.0005000000237487257
7,0.5306962132453918,0.24160468578338623,0.7698644399642944,0.6112992763519287,0.1694002002477646,0.724818229675293,0.0005000000237487257
8,0.515572190284729,0.264704167842865,0.7855806350708008,0.6199665069580078,0.188766211271286,0.7412230968475342,0.0005000000237487257
9,0.5199066400527954,0.2544758915901184,0.779998779296875,0.6982108950614929,0.17036858201026917,0.7208329439163208,0.0002500000118743628
10,0.5205687880516052,0.25601598620414734,0.7869247794151306,0.6137040257453918,0.16518986225128174,0.7133640050888062,0.0002500000118743628
