epoch,loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
1,0.5296480059623718,0.3105747401714325,0.7999041676521301,0.5617387294769287,0.3043006956577301,0.7790372371673584,0.0010000000474974513
2,0.4704696834087372,0.3895969092845917,0.8463501930236816,0.5916010141372681,0.3018358647823334,0.7809620499610901,0.0010000000474974513
3,0.417411744594574,0.49758410453796387,0.8822375535964966,0.544798731803894,0.3136956989765167,0.790134847164154,0.0010000000474974513
4,0.37271711230278015,0.5828042030334473,0.9072480797767639,0.5171536803245544,0.29495030641555786,0.7796445488929749,0.0010000000474974513
5,0.32389989495277405,0.6592225432395935,0.931033730506897,0.5033774971961975,0.2764666974544525,0.7520971298217773,0.0010000000474974513
6,0.25906190276145935,0.7496540546417236,0.955518364906311,0.4639420807361603,0.34328895807266235,0.7777456641197205,0.0005000000237487257
7,0.21366485953330994,0.8017987012863159,0.9688701629638672,0.46809303760528564,0.3628627061843872,0.7929628491401672,0.0005000000237487257
8,0.19399380683898926,0.8302584290504456,0.9743070602416992,0.5647202134132385,0.37295347452163696,0.7914972305297852,0.0005000000237487257
9,0.163827046751976,0.8669120073318481,0.9812507629394531,0.5934788584709167,0.3644203543663025,0.7699494957923889,0.0005000000237487257
10,0.14301034808158875,0.8936671018600464,0.9856264591217041,0.592138946056366,0.3624924421310425,0.7718201279640198,0.0005000000237487257
11,0.10680343210697174,0.9337056875228882,0.9916203022003174,0.5962951183319092,0.3440702259540558,0.7645466923713684,0.0002500000118743628
12,0.09521512687206268,0.9454447031021118,0.9933344721794128,0.6279001235961914,0.3839297890663147,0.775237500667572,0.0002500000118743628
13,0.08270826935768127,0.9572770595550537,0.9948721528053284,0.6286143660545349,0.4040457308292389,0.772789716720581,0.0002500000118743628
14,0.08328734338283539,0.9525504112243652,0.9946290254592896,0.6352118849754333,0.39375340938568115,0.7732157111167908,0.0002500000118743628
15,0.07202645391225815,0.964408278465271,0.9959330558776855,0.6555472016334534,0.3855831027030945,0.7680919170379639,0.0002500000118743628
16,0.055120471864938736,0.9760769605636597,0.9974238276481628,0.706543505191803,0.38451117277145386,0.7642191648483276,0.0001250000059371814
17,0.05001365393400192,0.980032742023468,0.9978859424591064,0.7266742587089539,0.3787297308444977,0.7597675919532776,0.0001250000059371814
