model_name,threshold,threshold_source,accuracy,precision,recall,f1,pr_auc,roc_auc,event_precision,event_recall,event_f1,event_count
cnn_lstm,0.168,validation_f1_sweep,0.8701053200108021,0.7919847328244275,0.8899213724088635,0.8381016492763379,0.9335835162860735,0.946662980998332,0.6,1.0,0.75,22
cnn_gru,0.069,validation_f1_sweep,0.8266270591412368,0.7094631986718317,0.9163688348820586,0.7997504678727386,0.9235251657651491,0.9351734994241919,0.6,1.0,0.75,22
gru,0.084,validation_f1_sweep,0.8306778287874697,0.7316926770708283,0.8713366690493209,0.7954323001631322,0.9191634803357092,0.926446097410849,0.5789473684210527,0.9166666666666666,0.7096774193548387,22
lstm,0.353,validation_f1_sweep,0.7904401836348907,0.6731517509727627,0.8656182987848463,0.7573483427141964,0.8414585950610036,0.8853028080573425,0.6,1.0,0.75,22
