dataset,feature,pb_r,pb_p_value,pb_significant,sp_rho,sp_p_value,sp_significant,n_pairs
event_0.csv,sensor_0_avg,0.4384498200257636,0.0,True,0.4427410347770587,0.0,True,54986
event_0.csv,wind_speed_3_avg,0.1385524482992544,9.097426595671153e-234,True,0.12099219324366116,2.3500586455324282e-178,True,54986
event_0.csv,wind_speed_4_avg,0.12427895628940584,3.8669312636485413e-188,True,0.10947374420481301,3.4441668118353706e-146,True,54986
event_0.csv,wind_speed_3_max,0.07906338458452696,5.8014440384582174e-77,True,0.07568012238409262,1.1774015664620944e-70,True,54986
event_0.csv,wind_speed_3_min,0.16972799316334453,0.0,True,0.14868878669079832,2.7045317658942705e-269,True,54986
event_0.csv,wind_speed_3_std,0.0990875870289071,5.349558139980777e-120,True,0.10182189439024293,1.2321144584689608e-126,True,54986
event_0.csv,sensor_6_avg,0.34393181467038025,0.0,True,0.35773893126457496,0.0,True,54986
event_0.csv,sensor_7_avg,0.3250205089361145,0.0,True,0.30564238549506423,0.0,True,54986
event_0.csv,sensor_8_avg,0.025694531598931918,1.680748301886023e-09,True,0.052860640152666706,2.494326698560626e-35,True,54986
event_0.csv,sensor_9_avg,0.32455039191514184,0.0,True,0.3064663789840135,0.0,True,54986
event_0.csv,sensor_10_avg,0.2515369391551659,0.0,True,0.23631064027387863,0.0,True,54986
event_0.csv,sensor_11_avg,0.0625420927723266,8.711317337240112e-49,True,0.08095221376174289,1.3226071280412086e-80,True,54986
event_0.csv,sensor_12_avg,0.09333699543697267,1.2291072588155538e-106,True,0.10099440588504344,1.3146446469025874e-124,True,54986
event_0.csv,sensor_13_avg,0.20393129510050845,0.0,True,0.16901099774782175,0.0,True,54986
event_0.csv,sensor_14_avg,0.19375337731764,0.0,True,0.15959775942271667,1.8568900452101e-310,True,54986
event_0.csv,sensor_15_avg,0.10314672011903593,6.4337343244999225e-130,True,0.07663474229575507,2.0860820949206474e-72,True,54986
event_0.csv,sensor_16_avg,0.10345287868813517,1.1061823926459858e-130,True,0.07719156366854849,1.93841427500204e-73,True,54986
event_0.csv,sensor_17_avg,0.104374893678858,5.335028081228471e-133,True,0.07890783424012275,1.1471348078213551e-76,True,54986
event_0.csv,sensor_18_avg,-0.04647103983843848,1.1191167302144169e-27,True,0.0013484317141319619,0.7518598359639438,False,54986
event_0.csv,sensor_18_max,-0.052069569448934795,2.495908034161489e-34,True,0.006028855470633973,0.15745215493658057,False,54986
event_0.csv,sensor_18_min,-0.03426995079908249,9.11892410764458e-16,True,-0.009686569771578469,0.0231218987841809,True,54986
event_0.csv,sensor_18_std,-0.036499101856870275,1.1153751523220997e-17,True,-0.07105934079355994,1.7283711146637575e-62,True,54986
event_0.csv,sensor_19_avg,0.34179666387859664,0.0,True,0.3194170657907709,0.0,True,54986
event_0.csv,sensor_20_avg,0.2585101308942319,0.0,True,0.23151231653246926,0.0,True,54986
event_0.csv,sensor_21_avg,0.20603766847772273,0.0,True,0.1725641146393404,0.0,True,54986
event_0.csv,sensor_22_avg,-0.02529715285225809,2.978703593133048e-09,True,-0.009792459226072012,0.02166183130907247,True,54986
event_0.csv,sensor_23_avg,0.061529510170108624,2.8373337804708614e-47,True,0.022520960413021807,1.2812288279435998e-07,True,54986
event_0.csv,sensor_24_avg,0.059157717619210605,7.942726958856445e-44,True,0.017838770345532152,2.87348655143964e-05,True,54986
event_0.csv,sensor_25_avg,0.06120822453463707,8.467752479727851e-47,True,0.021001314819725562,8.433913809189031e-07,True,54986
event_0.csv,sensor_26_avg,0.005954238456012038,0.16265560286210828,False,0.005983076090458229,0.16062942750877754,False,54986
event_0.csv,reactive_power_27_avg,-0.08290071118554651,1.877010123664306e-84,True,-0.08856875282820177,3.5874787745097048e-96,True,54986
event_0.csv,reactive_power_27_max,-0.06762239400137803,9.493860729085822e-57,True,-0.07377591038610028,3.1548203973405965e-67,True,54986
event_0.csv,reactive_power_27_min,-0.06353500007331306,2.708348617781105e-50,True,-0.05610353245723381,1.3799312009829092e-39,True,54986
event_0.csv,reactive_power_27_std,-0.023824378457927946,2.3067117904200758e-08,True,-0.024192044539989105,1.3989561069681002e-08,True,54986
event_0.csv,reactive_power_28_avg,0.06337524981031879,4.751493781811405e-50,True,0.07786367518114809,1.076214798034012e-74,True,54986
event_0.csv,reactive_power_28_max,0.045098305992991194,3.678314762431268e-26,True,0.04710537193032709,2.15183012031313e-28,True,54986
event_0.csv,reactive_power_28_min,0.05648371399164008,4.209918104627427e-40,True,0.04980918696345753,1.4890664848595585e-31,True,54986
event_0.csv,reactive_power_28_std,-0.014095969362414812,0.0009481855948285266,True,-0.013563941793143955,0.0014692200320387853,True,54986
event_0.csv,power_29_avg,0.14696463144357014,4.564344513493328e-263,True,0.11123162008937176,6.931539447241587e-151,True,54986
event_0.csv,power_29_max,0.13275630995373114,1.2740000293319715e-214,True,0.11362321099628436,2.1318212157994735e-157,True,54986
event_0.csv,power_29_min,0.13303861814798168,1.556820074758583e-215,True,0.10624346118380866,9.286713716115945e-138,True,54986
event_0.csv,power_29_std,0.04903265642051423,1.2539909002376304e-30,True,0.03339229725398434,4.794170625224453e-15,True,54986
event_0.csv,power_30_avg,0.060794214736259296,3.4356818076699356e-46,True,-0.003895579131507977,0.3610002918206389,False,54986
event_0.csv,power_30_max,0.04104937601515587,5.999370037734048e-22,True,0.0010799779507217654,0.8000832530951862,False,54986
event_0.csv,power_30_min,0.0696979957327373,3.5093714750508327e-60,True,0.01566714635549615,0.0002388334202610739,True,54986
event_0.csv,power_30_std,-0.025529499997271003,2.133844428639049e-09,True,-0.039494510066487694,1.9597772214800313e-20,True,54986
event_0.csv,sensor_31_avg,-0.011300640472340043,0.008051032052354098,True,-0.022212823217368907,1.8962592659622274e-07,True,54986
event_0.csv,sensor_31_max,-0.03355599157117269,3.5290667472036496e-15,True,-0.043446681994012123,2.1432941926594135e-24,True,54986
event_0.csv,sensor_31_min,0.02897816142980913,1.0727394437535874e-11,True,0.019851206742264548,3.235392251261635e-06,True,54986
event_0.csv,sensor_31_std,-0.03834234295778083,2.3831738928634216e-19,True,-0.10071232435307279,6.402318320538904e-124,True,54986
event_0.csv,sensor_32_avg,0.11269061040726766,7.673403044392338e-155,True,0.10444767954226847,3.494302311556751e-133,True,54986
event_0.csv,sensor_33_avg,0.14078441995161559,2.290122484591406e-241,True,0.13168586825964207,3.5364314730659657e-211,True,54986
event_0.csv,sensor_34_avg,0.1610652059325907,3.15007106e-316,True,0.14647291165667273,2.6393024067487857e-261,True,54986
event_0.csv,sensor_35_avg,0.18232839820128108,0.0,True,0.1495328266344372,2.2696709436594827e-272,True,54986
event_0.csv,sensor_36_avg,0.17948272247806307,0.0,True,0.14696152742069615,4.682968086352399e-263,True,54986
event_0.csv,sensor_37_avg,0.18180867378357118,0.0,True,0.14758258014714262,2.7301533335207775e-265,True,54986
event_0.csv,sensor_38_avg,0.20425539763661962,0.0,True,0.17625794473073106,0.0,True,54986
event_0.csv,sensor_39_avg,0.21094078836076788,0.0,True,0.19756739405539034,0.0,True,54986
event_0.csv,sensor_40_avg,0.2453782841705823,0.0,True,0.23859436836692005,0.0,True,54986
event_0.csv,sensor_41_avg,0.29931608886229116,0.0,True,0.2842783360901716,0.0,True,54986
event_0.csv,sensor_43_avg,0.4052022980580523,0.0,True,0.39823788386072306,0.0,True,54986
event_0.csv,sensor_44,-0.09688415807575282,8.783779708710881e-115,True,-0.06400952930774939,5.0573292416166285e-51,True,54986
event_0.csv,sensor_45,0.06161475798695655,2.120792814179028e-47,True,0.00733987006348949,0.08522958233020626,False,54986
event_0.csv,sensor_47,-0.12664392042131323,2.4022816120468638e-195,True,-0.08296546911397544,1.3931433541961256e-84,True,54986
event_0.csv,sensor_48,-0.002561584705642092,0.5480693103955123,False,-0.002666709529089955,0.531770167359023,False,54986
event_0.csv,sensor_50,0.060795480494938034,3.421051537487964e-46,True,-0.0039343203627425286,0.35624433299169855,False,54986
event_0.csv,sensor_51,-0.011390131700256365,0.0075646246315383275,True,-0.022301592390276067,1.6946160028657212e-07,True,54986
event_0.csv,sensor_52_avg,-0.04642125093822057,1.2725463314607222e-27,True,0.00044032498361562934,0.9177646559406922,False,54986
event_0.csv,sensor_52_max,-0.05532501866074529,1.5304832574393836e-38,True,0.00467641583156016,0.27283456800091427,False,54986
event_0.csv,sensor_52_min,-0.032269892776520176,3.7669788715168106e-14,True,0.00031331270610858675,0.9414342470864984,False,54986
event_0.csv,sensor_52_std,-0.04284649973558735,9.04766329234077e-24,True,-0.09828600442371657,4.359064633029956e-118,True,54986
event_0.csv,sensor_53_avg,0.3853074509027167,0.0,True,0.39450479361781937,0.0,True,54986
event_0.csv,sensor_1_avg_sin,0.09459984176644319,1.6781719387903353e-109,True,0.11333817134285648,1.2951658021906666e-156,True,54986
