epoch,loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
1,0.032326001673936844,0.24331727623939514,0.7678468823432922,0.03781656175851822,0.15809229016304016,0.7169109582901001,0.0010000000474974513
2,0.02781636267900467,0.3695574104785919,0.8473917841911316,0.038199178874492645,0.18662111461162567,0.7605802416801453,0.0010000000474974513
3,0.02282346598803997,0.5252744555473328,0.9086387753486633,0.054606303572654724,0.1862267702817917,0.7557306885719299,0.0010000000474974513
4,0.019634563475847244,0.6198472380638123,0.9343958497047424,0.04632832482457161,0.20208366215229034,0.7557558417320251,0.0010000000474974513
5,0.016841046512126923,0.7044611573219299,0.9526320695877075,0.07204829156398773,0.1946711242198944,0.7390171885490417,0.0010000000474974513
6,0.014625011943280697,0.7659506797790527,0.9648706912994385,0.06416234374046326,0.22427672147750854,0.7812824845314026,0.0010000000474974513
7,0.013118606992065907,0.8074213266372681,0.972425103187561,0.09352480620145798,0.22610855102539062,0.7560098767280579,0.0010000000474974513
8,0.01139085553586483,0.8486315011978149,0.9794929623603821,0.08963096141815186,0.24741283059120178,0.7864076495170593,0.0010000000474974513
9,0.010210935957729816,0.8749722242355347,0.9838792085647583,0.10181685537099838,0.2478281408548355,0.7806854248046875,0.0010000000474974513
10,0.008496927097439766,0.9114838242530823,0.9890959858894348,0.10947918146848679,0.24942168593406677,0.7770817875862122,0.0010000000474974513
11,0.007700968999415636,0.9256848096847534,0.9911766052246094,0.10855434834957123,0.24215662479400635,0.7921624183654785,0.0010000000474974513
12,0.006612645462155342,0.9441933631896973,0.9935309886932373,0.09292839467525482,0.26603659987449646,0.7937744855880737,0.0010000000474974513
13,0.0059051248244941235,0.9535085558891296,0.9948960542678833,0.11771781742572784,0.26352089643478394,0.758191704750061,0.0010000000474974513
14,0.005263187922537327,0.962644100189209,0.995941162109375,0.10848861187696457,0.2784406244754791,0.803093671798706,0.0010000000474974513
15,0.004539749585092068,0.9719592332839966,0.9970046281814575,0.1300603449344635,0.2637215554714203,0.7725613117218018,0.0010000000474974513
16,0.003910711035132408,0.9788317084312439,0.9977662563323975,0.13440147042274475,0.2633879780769348,0.7687445282936096,0.0010000000474974513
17,0.002226591808721423,0.9925295114517212,0.9992698431015015,0.14363723993301392,0.3136344254016876,0.7952407002449036,0.0005000000237487257
18,0.0020388413686305285,0.9937595129013062,0.999376654624939,0.16317927837371826,0.3169812262058258,0.7953857779502869,0.0005000000237487257
19,0.0021927442867308855,0.9929987192153931,0.9992868304252625,0.16896352171897888,0.3272566795349121,0.790861189365387,0.0005000000237487257
20,0.0017720625037327409,0.9951886534690857,0.9995166063308716,0.16914206743240356,0.3323712944984436,0.7934994697570801,0.0005000000237487257
21,0.001843094709329307,0.9946618676185608,0.9994774460792542,0.17588722705841064,0.31187528371810913,0.7705926299095154,0.0005000000237487257
22,0.0014662129106000066,0.9964238405227661,0.9996568560600281,0.17405672371387482,0.331721693277359,0.7981998920440674,0.0005000000237487257
23,0.0009928580839186907,0.9984431266784668,0.9998393654823303,0.1919914186000824,0.3467433452606201,0.7884171009063721,0.0002500000118743628
24,0.0009651898872107267,0.9985507726669312,0.999849796295166,0.1875903457403183,0.35385411977767944,0.7907562255859375,0.0002500000118743628
25,0.0007420795154757798,0.9990759491920471,0.9999116063117981,0.21373264491558075,0.3248978853225708,0.7751033902168274,0.0002500000118743628
