epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.04991840198636055,0.14180563390254974,0.012357369996607304,0.0757511779665947,0.0010000000474974513
2,0.01143694669008255,0.07273396104574203,0.009559006430208683,0.06662914901971817,0.0010000000474974513
3,0.009877877309918404,0.06725373864173889,0.009139275178313255,0.06501833349466324,0.0010000000474974513
4,0.009504660032689571,0.0661451518535614,0.008951245807111263,0.06470804661512375,0.0010000000474974513
5,0.009212173521518707,0.06535432487726212,0.008671912364661694,0.06395135074853897,0.0010000000474974513
6,0.00887017697095871,0.06431327760219574,0.008243591524660587,0.06250794976949692,0.0010000000474974513
7,0.00845291931182146,0.06267713010311127,0.007725861854851246,0.060192570090293884,0.0010000000474974513
8,0.008070041425526142,0.06075509637594223,0.0073159863241016865,0.058043818920850754,0.0010000000474974513
9,0.00778075261041522,0.059212952852249146,0.00698282802477479,0.056308992207050323,0.0010000000474974513
10,0.0074694412760436535,0.05757904052734375,0.006577976979315281,0.05408787727355957,0.0010000000474974513
11,0.0071284715086221695,0.05553561449050903,0.006296081002801657,0.05223773047327995,0.0010000000474974513
12,0.006939742248505354,0.05418705567717552,0.006178801879286766,0.051344435662031174,0.0010000000474974513
13,0.00683519896119833,0.05345946550369263,0.006088078487664461,0.050822071731090546,0.0010000000474974513
14,0.0067441705614328384,0.052906595170497894,0.006024207454174757,0.050350792706012726,0.0010000000474974513
15,0.006620991043746471,0.052418921142816544,0.005808268208056688,0.04974063113331795,0.0010000000474974513
16,0.006066120695322752,0.05092973634600639,0.005055057816207409,0.0476556234061718,0.0010000000474974513
17,0.005411928053945303,0.04797442629933357,0.004712012130767107,0.045028235763311386,0.0010000000474974513
18,0.005279759410768747,0.046928372234106064,0.0046605984680354595,0.04453707113862038,0.0010000000474974513
19,0.0052391402423381805,0.04662700369954109,0.004635522607713938,0.044341593980789185,0.0010000000474974513
20,0.005204020068049431,0.04636630415916443,0.004616667050868273,0.04417944326996803,0.0005000000237487257
21,0.005192561075091362,0.04631222039461136,0.0046065934002399445,0.04413151368498802,0.0005000000237487257
22,0.005181188229471445,0.04626550152897835,0.004598611034452915,0.04409017786383629,0.0005000000237487257
23,0.005169859621673822,0.04622115194797516,0.004591600503772497,0.04407188296318054,0.0005000000237487257
24,0.0051538278348743916,0.046119291335344315,0.004583701957017183,0.044003892689943314,0.0002500000118743628
25,0.0051480429247021675,0.04609919711947441,0.004580133594572544,0.04399358853697777,0.0002500000118743628
26,0.005139768123626709,0.04604432359337807,0.004565490409731865,0.04387225583195686,0.0001250000059371814
27,0.005136339459568262,0.04603412374854088,0.004563493188470602,0.043866317719221115,0.0001250000059371814
28,0.00513153150677681,0.04600454866886139,0.004559672903269529,0.043851908296346664,6.25000029685907e-05
29,0.005129724275320768,0.04599800333380699,0.0045581697486341,0.043850451707839966,6.25000029685907e-05
30,0.0051269615069031715,0.04598233476281166,0.004557841923087835,0.04384524002671242,3.125000148429535e-05
31,0.005125947762280703,0.04597849026322365,0.0045569539070129395,0.04383987933397293,3.125000148429535e-05
32,0.005124248098582029,0.045969150960445404,0.004557703156024218,0.043855391442775726,1.5625000742147677e-05
33,0.005123709794133902,0.04596705362200737,0.0045572672970592976,0.04385274276137352,1.5625000742147677e-05
34,0.005122890695929527,0.04596294090151787,0.00455730315297842,0.04385681077837944,9.999999747378752e-06
