score,quantile,threshold,precision,recall,f1,pr_auc,roc_auc,predicted_window_count
top5_feature_mse,0.5,4.8952367305755615,0.36881005173688103,0.7974430683180184,0.504358812381554,0.4666273964727874,0.5948046565349722,5412
max_feature_mse,0.5,15.668947219848633,0.3706570996978852,0.7842588893328006,0.50339787152199,0.4622687030412328,0.5897173493475174,5296
max_timestep_l2,0.5,35.90786361694336,0.3770392749244713,0.7479025169796244,0.5013390465988217,0.5118991749593585,0.6266096381779848,4965
mean_mse,0.5,0.6830321848392487,0.35966022049521057,0.7950459448661606,0.4952712792434047,0.46558801333404787,0.5894341999035887,5533
max_timestep_l2,0.6,42.80051803588867,0.4241719930273097,0.5833000399520575,0.4911690496215307,0.5118991749593585,0.6266096381779848,3442
last_72_mean_l2,0.5,5.571714162826538,0.3562730627306273,0.7714742309228926,0.48744162564685095,0.45510540592515514,0.5663538848948566,5420
mean_l2,0.5,5.8052496910095215,0.3509658783173858,0.7766679984019177,0.483461825416563,0.44192127835826844,0.5654496426167412,5539
last_72_mean_l2,0.6,6.297992706298827,0.3634329875940614,0.713943268078306,0.4816711590296496,0.45510540592515514,0.5663538848948566,4917
top5_feature_mse,0.6,12.200544929504394,0.376271186440678,0.6652017578905314,0.4806581986143187,0.4666273964727874,0.5948046565349722,4425
mean_mse,0.6,1.2596242189407345,0.37438423645320196,0.6679984019176988,0.47983928827665373,0.46558801333404787,0.5894341999035887,4466
p95_timestep_l2,0.5,8.560751271247863,0.34412024756852344,0.7774670395525369,0.47707771512625646,0.4564534387761156,0.5650667755017688,5655
last_24_mean_l2,0.5,5.653804779052734,0.34785903751420993,0.7335197762684779,0.47191877650687575,0.4549979906523429,0.5607601500403663,5278
last_24_mean_l2,0.6,6.320953845977783,0.3551558251411839,0.6783859368757491,0.46622734761120266,0.4549979906523429,0.5607601500403663,4781
max_feature_mse,0.6,46.51168518066406,0.36708275543227,0.6344386735916899,0.46507541367696587,0.4622687030412328,0.5897173493475174,4326
p95_timestep_l2,0.6,10.832467222213744,0.34483427020740454,0.710747103475829,0.4643696162881754,0.4564534387761156,0.5650667755017688,5159
max_timestep_l2,0.7,45.67005577087402,0.49681238615664847,0.43587694766280466,0.464354117897425,0.5118991749593585,0.6266096381779848,2196
mean_l2,0.6,6.937306022644042,0.3496085702513391,0.6779864163004394,0.4613293462008971,0.44192127835826844,0.5654496426167412,4854
mean_abs,0.5,0.47297994792461395,0.337248322147651,0.7227327207351179,0.4598957671285115,0.4608980963921612,0.5607259901375772,5364
p95_timestep_l2,0.7,20.06170385360713,0.36816642477019834,0.6080703156212545,0.45864095223745666,0.4564534387761156,0.5650667755017688,4134
mean_l2,0.7,8.2881591796875,0.36617943548387094,0.5805033959248901,0.4490805130582599,0.44192127835826844,0.5654496426167412,3968
mean_mse,0.7,1.752469503879547,0.38056792873051226,0.5461446264482621,0.44856439704675966,0.46558801333404787,0.5894341999035887,3592
last_24_mean_l2,0.7,7.432862424850463,0.3585043988269795,0.5860966839792249,0.444882486732373,0.4549979906523429,0.5607601500403663,4092
last_72_mean_l2,0.7,7.997969293594358,0.363013698630137,0.5717139432680783,0.44406516679596586,0.45510540592515514,0.5663538848948566,3942
mean_abs,0.6,0.5113785982131958,0.33131190620578127,0.654814222932481,0.44,0.4608980963921612,0.5607259901375772,4947
top5_feature_mse,0.7,18.939502906799316,0.3762489294890094,0.5265681182580902,0.4388944388944389,0.4666273964727874,0.5948046565349722,3503
mean_l2,0.8,9.475167655944825,0.3820362965241464,0.49620455453455853,0.4316996871741397,0.44192127835826844,0.5654496426167412,3251
max_feature_mse,0.7,76.70130462646483,0.37759710930442636,0.500998801438274,0.43063186813186816,0.4622687030412328,0.5897173493475174,3321
mean_abs,0.8,0.6380733609199524,0.3803945745992602,0.4930083899320815,0.42944144771184967,0.4608980963921612,0.5607259901375772,3244
mean_abs,0.7,0.5699260711669921,0.33871345029239763,0.578505793048342,0.4272646798465624,0.4608980963921612,0.5607259901375772,4275
last_24_mean_l2,0.8,9.400953674316407,0.39091212829936517,0.4674390731122653,0.425764192139738,0.4549979906523429,0.5607601500403663,2993
mean_abs,0.85,0.6771822690963745,0.41944444444444445,0.42229324810227725,0.42086402548277924,0.4608980963921612,0.5607259901375772,2520
mean_mse,0.8,2.3861003398895306,0.4066147859922179,0.4174990011985617,0.41198501872659177,0.46558801333404787,0.5894341999035887,2570
last_72_mean_l2,0.8,9.62229461669922,0.37475280158206986,0.45425489412704756,0.41069171031244356,0.45510540592515514,0.5663538848948566,3034
mean_l2,0.85,10.251360750198364,0.3880969351389879,0.43507790651218536,0.4102467508005274,0.44192127835826844,0.5654496426167412,2806
top5_feature_mse,0.8,27.174588775634767,0.40130068859984697,0.41909708349980024,0.4100058628102404,0.4666273964727874,0.5948046565349722,2614
max_timestep_l2,0.8,48.27451705932617,0.5975327679259831,0.309628445864962,0.40789473684210525,0.5118991749593585,0.6266096381779848,1297
mean_mse,0.85,2.7946071863174438,0.4416023166023166,0.36556132640831,0.4,0.46558801333404787,0.5894341999035887,2072
mean_abs,0.9,0.7244777858257294,0.48464163822525597,0.3403915301638034,0.3999061253226942,0.4608980963921612,0.5607259901375772,1758
max_feature_mse,0.8,120.10359344482428,0.4083088543852287,0.38873351977626847,0.3982808022922636,0.4622687030412328,0.5897173493475174,2383
top5_feature_mse,0.85,32.82703762054443,0.43118835133865663,0.36675988813423893,0.3963730569948187,0.4666273964727874,0.5948046565349722,2129
