model_name,asset_count,macro_event_precision,macro_event_recall,macro_event_f1,macro_event_pr_auc,macro_event_roc_auc,pooled_event_precision,pooled_event_recall,pooled_event_f1,pooled_event_pr_auc,pooled_event_roc_auc
lstm_ae,5,0.6,0.8,0.6761904761904762,0.85,0.8,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.9342333592333593,0.9083333333333333
gru_ae,5,0.5666666666666667,0.7333333333333333,0.6361904761904762,0.7611111111111111,0.65,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.8155468313363051,0.75
