model_name,asset_id,threshold,event_precision,event_recall,event_f1,event_pr_auc,event_roc_auc,window_precision,window_recall,window_f1,window_pr_auc,window_roc_auc
lstm_ae,0,0.033371256142854695,0.75,1.0,0.8571428571428571,1.0,1.0,0.7758620689655172,0.10044642857142858,0.17786561264822134,0.6282798576028621,0.5794826514466547
lstm_ae,10,0.032292549684643734,1.0,1.0,1.0,1.0,1.0,1.0,0.2181208053691275,0.3581267217630854,0.7581528397974084,0.6376274847516494
lstm_ae,11,0.08091846432536835,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.4113523166671432,0.7609278133127153
lstm_ae,13,0.013670682162046434,0.5,1.0,0.6666666666666666,1.0,1.0,0.5351351351351351,0.24205378973105135,0.3333333333333333,0.5224248540481488,0.5780461993212422
lstm_ae,21,0.014531627669930458,0.75,1.0,0.8571428571428571,1.0,1.0,0.7792207792207793,0.21951219512195122,0.3425309229305423,0.7276983097309742,0.5965801579723982
