epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.050697918981313705,0.1508398801088333,0.02825877070426941,0.11463319510221481,0.0010000000474974513
2,0.032218191772699356,0.12097900360822678,0.024218132719397545,0.10282398015260696,0.0010000000474974513
3,0.026917828246951103,0.10769166052341461,0.022845467552542686,0.09901336580514908,0.0010000000474974513
4,0.02587849088013172,0.10513067245483398,0.02234468050301075,0.09715066105127335,0.0010000000474974513
5,0.025440946221351624,0.10410374402999878,0.02205958589911461,0.0964495912194252,0.0010000000474974513
6,0.02519073896110058,0.10343704372644424,0.02183234505355358,0.0959327295422554,0.0010000000474974513
7,0.025011403486132622,0.10282034426927567,0.021638456732034683,0.09554415941238403,0.0010000000474974513
8,0.024827882647514343,0.10212990641593933,0.02143673412501812,0.09544392675161362,0.0010000000474974513
9,0.02421865239739418,0.09983295947313309,0.020156502723693848,0.09031577408313751,0.0010000000474974513
10,0.02358059771358967,0.09718704223632812,0.019956212490797043,0.0912722796201706,0.0010000000474974513
11,0.023290565237402916,0.09587123990058899,0.019660187885165215,0.08773969858884811,0.0010000000474974513
12,0.023022804409265518,0.09516427665948868,0.018603762611746788,0.08689452707767487,0.0010000000474974513
13,0.02222376875579357,0.09480130672454834,0.018176011741161346,0.08569144457578659,0.0010000000474974513
14,0.020128440111875534,0.08903662860393524,0.016470538452267647,0.08181377500295639,0.0010000000474974513
15,0.018931303173303604,0.08599801361560822,0.01599876768887043,0.08012957125902176,0.0010000000474974513
16,0.017880700528621674,0.08331949263811111,0.01898372918367386,0.09147143363952637,0.0010000000474974513
17,0.017328958958387375,0.08148177713155746,0.014841879718005657,0.07660938799381256,0.0010000000474974513
18,0.01621347665786743,0.07836149632930756,0.014100683853030205,0.07480503618717194,0.0010000000474974513
19,0.015741489827632904,0.0770794153213501,0.01367814652621746,0.07321617752313614,0.0010000000474974513
20,0.015982981771230698,0.07781139016151428,0.013934631831943989,0.07515883445739746,0.0010000000474974513
