model_name,threshold,threshold_source,accuracy,precision,recall,f1,pr_auc,roc_auc,event_precision,event_recall,event_f1,event_count
cnn_gru,0.116,validation_f1_sweep,0.8279331068722237,0.7756653992395437,0.7372605710155403,0.7559755419677598,0.8254371993854476,0.8994402517495322,0.5714285714285714,1.0,0.7272727272727273,22
gru,0.20500000000000002,validation_f1_sweep,0.810164619806637,0.7596837944664032,0.694615106613661,0.7256937889371342,0.7996302133696324,0.8645570596603589,0.5714285714285714,1.0,0.7272727272727273,22
lstm,0.581,validation_f1_sweep,0.6891821269924223,0.5492886178861789,0.7813516443801951,0.645084290616142,0.6812247454130834,0.7939358301369535,0.5714285714285714,1.0,0.7272727272727273,22
cnn_lstm,0.912,validation_f1_sweep,0.7984060621897048,0.8893129770992366,0.5052403324900614,0.6443881078589537,0.8316181518591569,0.8894937772923585,0.7333333333333333,0.9166666666666666,0.8148148148148148,22
